Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Yangan,R05 - WST,4371,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,4,4,100.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Swanfels,R05 - WST,4371,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,2,2,100.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Emu Vale,R05 - WST,4371,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
The Falls,R05 - WST,4373,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
(No Suburb Listed),R05 - WST,4375,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Dalcouth,R05 - WST,4380,QLD,GO,1 in 2,Very Low (<10),1,1,0,0,2,4,50.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Kyoomba,R05 - WST,4380,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,3,3,100.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Amiens,R05 - WST,4380,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Broadwater,R05 - WST,4380,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Severnlea,R05 - WST,4380,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
