Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Gwandalan,R09 - NR,2259,NSW,GO,1 in 4,High (50+),2,91,14,15,41,163,25.20%,17.80%,8.60%,9.20%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Summerland Point,R09 - NR,2259,NSW,GO,1 in 4,Medium (20-49),2,8,1,4,5,20,25.00%,25.00%,5.00%,20.00%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Lake Munmorah,R09 - NR,2259,NSW,GO,1 in 3,Very Low (<10),0,3,0,3,3,9,33.30%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Woongarrah,R09 - NR,2259,NSW,GO,1 in 2,Very Low (<10),0,4,0,1,4,9,44.40%,11.10%,0.00%,11.10%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Chain Valley Bay,R09 - NR,2259,NSW,KEEP AWAY,1 in 8,Very Low (<10),1,1,2,3,1,8,12.50%,62.50%,25.00%,37.50%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Buff Point,R09 - NR,2262,NSW,GO,1 in 3,Low (10-19),0,4,0,5,5,14,35.70%,35.70%,0.00%,35.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Budgewoi,R09 - NR,2262,NSW,GO,1 in 4,Very Low (<10),1,4,0,1,2,8,25.00%,12.50%,0.00%,12.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
San Remo,R09 - NR,2262,NSW,GO,1 in 4,Very Low (<10),0,4,0,1,2,7,28.60%,14.30%,0.00%,14.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Noraville,R09 - NR,2263,NSW,GO,1 in 3,Medium (20-49),0,9,2,3,9,23,39.10%,21.70%,8.70%,13.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Norah Head,R09 - NR,2263,NSW,GO,1 in 4,Very Low (<10),0,3,0,3,2,8,25.00%,37.50%,0.00%,37.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Toukley,R09 - NR,2263,NSW,ON THE FENCE,1 in 8,Low (10-19),0,11,1,2,2,16,12.50%,18.80%,6.20%,12.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Gorokan,R09 - NR,2263,NSW,ON THE FENCE,1 in 6,Low (10-19),0,6,1,2,2,11,18.20%,27.30%,9.10%,18.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Cooranbong,R09 - NR,2265,NSW,GO,1 in 3,Low (10-19),1,7,0,2,6,16,37.50%,12.50%,0.00%,12.50%,24/11/25,4-5cm,,31/10/25,5-6cm,,,,
Belmont North,R09 - NR,2280,NSW,GO,1 in 4,High (50+),2,83,6,9,36,136,26.50%,11.00%,4.40%,6.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Belmont,R09 - NR,2280,NSW,WORTH IT,1 in 5,High (50+),0,58,10,16,22,106,20.80%,24.50%,9.40%,15.10%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Marks Point,R09 - NR,2280,NSW,WORTH IT,1 in 5,Medium (20-49),2,17,7,6,9,41,22.00%,31.70%,17.10%,14.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Jewells,R09 - NR,2280,NSW,ON THE FENCE,1 in 7,Medium (20-49),0,24,1,0,4,29,13.80%,3.40%,3.40%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Belmont South,R09 - NR,2280,NSW,ON THE FENCE,1 in 7,Medium (20-49),0,15,1,3,3,22,13.60%,18.20%,4.50%,13.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Floraville,R09 - NR,2280,NSW,KEEP AWAY,1 in 14,Low (10-19),0,5,0,8,1,14,7.10%,57.10%,0.00%,57.10%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Valentine,R09 - NR,2280,NSW,KEEP AWAY,1 in 13,Low (10-19),0,4,1,7,1,13,7.70%,61.50%,7.70%,53.80%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Murrays Beach,R09 - NR,2281,NSW,GO,1 in 2,Medium (20-49),0,11,3,1,10,25,40.00%,16.00%,12.00%,4.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Swansea,R09 - NR,2281,NSW,WORTH IT,1 in 4,High (50+),3,68,9,35,37,152,24.30%,28.90%,5.90%,23.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Pelican,R09 - NR,2281,NSW,ON THE FENCE,1 in 11,Medium (20-49),0,15,4,1,2,22,9.10%,22.70%,18.20%,4.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Catherine Hill Bay,R09 - NR,2281,NSW,KEEP AWAY,1 in 6,High (50+),0,29,5,45,15,94,16.00%,53.20%,5.30%,47.90%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Blacksmiths,R09 - NR,2281,NSW,KEEP AWAY,1 in 6,Medium (20-49),1,8,13,5,5,32,15.60%,56.20%,40.60%,15.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Caves Beach,R09 - NR,2281,NSW,KEEP AWAY,1 in 6,Medium (20-49),2,11,3,8,5,29,17.20%,37.90%,10.30%,27.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Nords Wharf,R09 - NR,2281,NSW,KEEP AWAY,1 in 6,Low (10-19),0,3,2,6,2,13,15.40%,61.50%,15.40%,46.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Warners Bay,R09 - NR,2282,NSW,ON THE FENCE,No Claims,Very Low (<10),0,5,0,2,0,7,0.00%,28.60%,0.00%,28.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Blackalls Park,R09 - NR,2283,NSW,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Boolaroo,R09 - NR,2284,NSW,ON THE FENCE,1 in 6,Very Low (<10),0,5,0,0,1,6,16.70%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Cardiff South,R09 - NR,2285,NSW,GO,1 in 2,Very Low (<10),0,0,1,2,2,5,40.00%,60.00%,20.00%,40.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Cardiff,R09 - NR,2285,NSW,ON THE FENCE,No Claims,Low (10-19),1,9,0,4,0,14,0.00%,28.60%,0.00%,28.60%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Glendale,R09 - NR,2285,NSW,KEEP AWAY,No Claims,Very Low (<10),0,1,3,3,0,7,0.00%,85.70%,42.90%,42.90%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Macquarie Hills,R09 - NR,2285,NSW,KEEP AWAY,No Claims,Very Low (<10),0,3,0,3,0,6,0.00%,50.00%,0.00%,50.00%,28/11/2022,2-3cm,,,,,,,
Wallsend,R09 - NR,2287,NSW,ON THE FENCE,1 in 7,Medium (20-49),8,22,3,1,6,40,15.00%,10.00%,7.50%,2.50%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Maryland,R09 - NR,2287,NSW,ON THE FENCE,No Claims,Low (10-19),0,12,1,1,0,14,0.00%,14.30%,7.10%,7.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Elermore Vale,R09 - NR,2287,NSW,ON THE FENCE,1 in 7,Very Low (<10),0,5,0,1,1,7,14.30%,14.30%,0.00%,14.30%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Rankin Park,R09 - NR,2287,NSW,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Adamstown,R09 - NR,2289,NSW,GO,1 in 4,High (50+),1,44,9,13,24,91,26.40%,24.20%,9.90%,14.30%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Highfields,R09 - NR,2289,NSW,ON THE FENCE,1 in 6,Very Low (<10),0,4,1,0,1,6,16.70%,16.70%,16.70%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Adamstown Heights,R09 - NR,2289,NSW,KEEP AWAY,1 in 10,Medium (20-49),0,12,4,2,2,20,10.00%,30.00%,20.00%,10.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kotara,R09 - NR,2289,NSW,KEEP AWAY,No Claims,Low (10-19),0,8,1,5,0,14,0.00%,42.90%,7.10%,35.70%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kotara South,R09 - NR,2289,NSW,KEEP AWAY,1 in 8,Very Low (<10),0,3,1,3,1,8,12.50%,50.00%,12.50%,37.50%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kahibah,R09 - NR,2290,NSW,GO,1 in 3,Medium (20-49),1,15,2,3,12,33,36.40%,15.20%,6.10%,9.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Gateshead,R09 - NR,2290,NSW,WORTH IT,1 in 5,Medium (20-49),1,13,3,3,5,25,20.00%,24.00%,12.00%,12.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Charlestown,R09 - NR,2290,NSW,ON THE FENCE,1 in 10,High (50+),0,68,6,9,9,92,9.80%,16.30%,6.50%,9.80%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Tingira Heights,R09 - NR,2290,NSW,ON THE FENCE,1 in 8,Low (10-19),0,10,1,3,2,16,12.50%,25.00%,6.20%,18.80%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Mount Hutton,R09 - NR,2290,NSW,ON THE FENCE,No Claims,Very Low (<10),0,6,0,2,0,8,0.00%,25.00%,0.00%,25.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R09 - NR,2290,NSW,UNPROVEN,No Claims,Very Low (<10),0,6,0,0,0,6,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Whitebridge,R09 - NR,2290,NSW,KEEP AWAY,1 in 10,Medium (20-49),0,12,2,5,2,21,9.50%,33.30%,9.50%,23.80%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Dudley,R09 - NR,2290,NSW,KEEP AWAY,No Claims,Low (10-19),0,6,0,6,0,12,0.00%,50.00%,0.00%,50.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Redhead,R09 - NR,2290,NSW,KEEP AWAY,No Claims,Low (10-19),0,6,0,5,0,11,0.00%,45.50%,0.00%,45.50%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Merewether,R09 - NR,2291,NSW,GO,1 in 3,High (50+),6,268,15,19,154,462,33.30%,7.40%,3.20%,4.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
The Junction,R09 - NR,2291,NSW,GO,1 in 2,Medium (20-49),0,20,0,1,17,38,44.70%,2.60%,0.00%,2.60%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Merewether Heights,R09 - NR,2291,NSW,KEEP AWAY,1 in 19,Low (10-19),0,9,3,6,1,19,5.30%,47.40%,15.80%,31.60%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Broadmeadow,R09 - NR,2292,NSW,ON THE FENCE,1 in 22,Medium (20-49),5,13,1,2,1,22,4.50%,13.60%,4.50%,9.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Hamilton North,R09 - NR,2292,NSW,KEEP AWAY,No Claims,Very Low (<10),0,0,0,8,0,8,0.00%,100.00%,0.00%,100.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Maryville,R09 - NR,2293,NSW,KEEP AWAY,No Claims,Very Low (<10),1,0,1,6,0,8,0.00%,87.50%,12.50%,75.00%,26/05/2023,3-4cm,,,,,,,
Wickham,R09 - NR,2293,NSW,KEEP AWAY,No Claims,Very Low (<10),0,2,1,3,0,6,0.00%,66.70%,16.70%,50.00%,26/05/2023,3-4cm,,,,,,,
Carrington,R09 - NR,2294,NSW,WORTH IT,1 in 4,Medium (20-49),2,8,2,4,5,21,23.80%,28.60%,9.50%,19.00%,26/05/2023,3-4cm,,,,,,,
Stockton,R09 - NR,2295,NSW,KEEP AWAY,No Claims,Very Low (<10),0,2,1,4,0,7,0.00%,71.40%,14.30%,57.10%,26/05/2023,3-4cm,,,,,,,
Islington,R09 - NR,2296,NSW,KEEP AWAY,No Claims,Very Low (<10),1,3,0,4,0,8,0.00%,50.00%,0.00%,50.00%,26/05/2023,3-4cm,,,,,,,
Waratah,R09 - NR,2298,NSW,GO,1 in 4,Low (10-19),3,5,2,3,5,18,27.80%,27.80%,11.10%,16.70%,26/05/2023,3-4cm,,,,,,,
Georgetown,R09 - NR,2298,NSW,WORTH IT,1 in 4,Very Low (<10),1,4,0,2,2,9,22.20%,22.20%,0.00%,22.20%,26/05/2023,3-4cm,,,,,,,
North Lambton,R09 - NR,2299,NSW,ON THE FENCE,1 in 12,Low (10-19),0,11,0,0,1,12,8.30%,0.00%,0.00%,0.00%,26/05/2023,3-4cm,,,,,,,
Jesmond,R09 - NR,2299,NSW,ON THE FENCE,1 in 8,Very Low (<10),0,5,1,1,1,8,12.50%,25.00%,12.50%,12.50%,26/05/2023,3-4cm,,,,,,,
Lambton,R09 - NR,2299,NSW,KEEP AWAY,1 in 16,Medium (20-49),1,17,6,7,2,33,6.10%,39.40%,18.20%,21.20%,26/05/2023,3-4cm,,,,,,,
Newcastle,R09 - NR,2300,NSW,GO,1 in 2,Very Low (<10),0,3,0,0,2,5,40.00%,0.00%,0.00%,0.00%,26/05/2023,3-4cm,,,,,,,
Cooks Hill,R09 - NR,2300,NSW,WORTH IT,1 in 5,Medium (20-49),0,17,1,4,6,28,21.40%,17.90%,3.60%,14.30%,26/05/2023,3-4cm,,,,,,,
Bar Beach,R09 - NR,2300,NSW,WORTH IT,1 in 5,Low (10-19),0,7,1,3,3,14,21.40%,28.60%,7.10%,21.40%,26/05/2023,3-4cm,,,,,,,
The Hill,R09 - NR,2300,NSW,ON THE FENCE,1 in 6,Very Low (<10),0,4,1,0,1,6,16.70%,16.70%,16.70%,0.00%,26/05/2023,3-4cm,,,,,,,
Newcastle East,R09 - NR,2300,NSW,KEEP AWAY,1 in 9,Very Low (<10),0,5,1,2,1,9,11.10%,33.30%,11.10%,22.20%,26/05/2023,3-4cm,,,,,,,
Hamilton South,R09 - NR,2303,NSW,KEEP AWAY,1 in 13,Medium (20-49),0,19,3,14,3,39,7.70%,43.60%,7.70%,35.90%,26/05/2023,3-4cm,,,,,,,
Hamilton,R09 - NR,2303,NSW,KEEP AWAY,No Claims,Medium (20-49),1,4,1,14,0,20,0.00%,75.00%,5.00%,70.00%,26/05/2023,3-4cm,,,,,,,
Mayfield,R09 - NR,2304,NSW,ON THE FENCE,1 in 8,Medium (20-49),1,19,4,3,4,31,12.90%,22.60%,12.90%,9.70%,26/05/2023,3-4cm,,,,,,,
Mayfield West,R09 - NR,2304,NSW,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,26/05/2023,3-4cm,,,,,,,
Mayfield East,R09 - NR,2304,NSW,KEEP AWAY,1 in 6,Very Low (<10),0,2,2,1,1,6,16.70%,50.00%,33.30%,16.70%,26/05/2023,3-4cm,,,,,,,
New Lambton,R09 - NR,2305,NSW,GO,1 in 4,High (50+),3,94,29,23,59,208,28.40%,25.00%,13.90%,11.10%,26/05/2023,3-4cm,,,,,,,
New Lambton Heights,R09 - NR,2305,NSW,KEEP AWAY,1 in 8,Very Low (<10),0,3,1,3,1,8,12.50%,50.00%,12.50%,37.50%,26/05/2023,3-4cm,,,,,,,
Windale,R09 - NR,2306,NSW,GO,1 in 3,Low (10-19),0,7,0,1,4,12,33.30%,8.30%,0.00%,8.30%,26/05/2023,3-4cm,,,,,,,
Farley,R09 - NR,2320,NSW,GO,1 in 2,Medium (20-49),0,13,0,0,16,29,55.20%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Aberglasslyn,R09 - NR,2320,NSW,WORTH IT,1 in 4,High (50+),9,95,23,9,44,180,24.40%,17.80%,12.80%,5.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Telarah,R09 - NR,2320,NSW,WORTH IT,1 in 5,High (50+),8,33,11,17,19,88,21.60%,31.80%,12.50%,19.30%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Maitland,R09 - NR,2320,NSW,WORTH IT,1 in 5,Low (10-19),3,7,1,0,3,14,21.40%,7.10%,7.10%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Rutherford,R09 - NR,2320,NSW,ON THE FENCE,1 in 9,High (50+),1,159,21,13,25,219,11.40%,15.50%,9.60%,5.90%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Windella,R09 - NR,2320,NSW,KEEP AWAY,No Claims,Very Low (<10),0,3,1,3,0,7,0.00%,57.10%,14.30%,42.90%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Lochinvar,R09 - NR,2321,NSW,WORTH IT,1 in 4,Medium (20-49),0,21,6,0,8,35,22.90%,17.10%,17.10%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Cliftleigh,R09 - NR,2321,NSW,ON THE FENCE,1 in 5,High (50+),18,24,3,1,11,57,19.30%,7.00%,5.30%,1.80%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Gillieston Heights,R09 - NR,2321,NSW,KEEP AWAY,No Claims,Low (10-19),0,4,2,5,0,11,0.00%,63.60%,18.20%,45.50%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Heddon Greta,R09 - NR,2321,NSW,KEEP AWAY,1 in 6,Very Low (<10),0,2,1,2,1,6,16.70%,50.00%,16.70%,33.30%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Thornton,R09 - NR,2322,NSW,ON THE FENCE,No Claims,Low (10-19),0,12,0,5,0,17,0.00%,29.40%,0.00%,29.40%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Woodberry,R09 - NR,2322,NSW,ON THE FENCE,No Claims,Very Low (<10),0,4,1,0,0,5,0.00%,20.00%,20.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Beresfield,R09 - NR,2322,NSW,UNPROVEN,No Claims,Very Low (<10),0,6,0,0,0,6,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
East Maitland,R09 - NR,2323,NSW,GO,1 in 3,Medium (20-49),2,6,4,2,7,21,33.30%,28.60%,19.00%,9.50%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Raymond Terrace,R09 - NR,2324,NSW,KEEP AWAY,No Claims,Very Low (<10),0,6,0,3,0,9,0.00%,33.30%,0.00%,33.30%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Aberdare,R09 - NR,2325,NSW,WORTH IT,1 in 5,Very Low (<10),0,1,0,3,1,5,20.00%,60.00%,0.00%,60.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Nulkaba,R09 - NR,2325,NSW,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Cessnock,R09 - NR,2325,NSW,KEEP AWAY,1 in 10,Medium (20-49),4,19,2,10,4,39,10.30%,30.80%,5.10%,25.60%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Kurri Kurri,R09 - NR,2327,NSW,WORTH IT,1 in 4,Low (10-19),1,3,2,4,3,13,23.10%,46.20%,15.40%,30.80%,18/10/2025,5-6cm,,31/10/2025,5-6cm,,24/12/2023,>1cm,
Denman,R09 - NR,2328,NSW,ON THE FENCE,No Claims,Low (10-19),1,9,4,0,0,14,0.00%,28.60%,28.60%,0.00%,18/10/2025,5-6cm,,31/10/2025,5-6cm,,24/12/2023,>1cm,
South Tamworth,R08 - GA,2340,NSW,GO,1 in 3,Medium (20-49),1,11,0,6,8,26,30.80%,23.10%,0.00%,23.10%,12/12/2022,5-6cm,,,,,,,
Hillvue,R08 - GA,2340,NSW,GO,1 in 4,Very Low (<10),1,3,0,2,2,8,25.00%,25.00%,0.00%,25.00%,12/12/2022,5-6cm,,,,,,,
Armidale,R08 - GA,2350,NSW,GO,1 in 3,High (50+),16,437,6,8,262,729,35.90%,1.90%,0.80%,1.10%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Invergowrie,R08 - GA,2350,NSW,GO,1 in 2,Very Low (<10),0,2,0,1,4,7,57.10%,14.30%,0.00%,14.30%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
(No Suburb Listed),R08 - GA,2350,NSW,ON THE FENCE,1 in 7,Very Low (<10),3,3,0,0,1,7,14.30%,0.00%,0.00%,0.00%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Walcha,R08 - GA,2354,NSW,GO,1 in 3,Very Low (<10),0,6,0,0,3,9,33.30%,0.00%,0.00%,0.00%,1/11/25,3-4cm,,23/01/2025,5-6cm,,,,
Uralla,R09 - NR,2358,NSW,GO,1 in 2,High (50+),11,10,0,9,20,50,40.00%,18.00%,0.00%,18.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R09 - NR,2358,NSW,WORTH IT,1 in 5,Very Low (<10),3,0,0,1,1,5,20.00%,20.00%,0.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Guyra,OOA,2365,NSW,KEEP AWAY,No Claims,Very Low (<10),0,4,2,1,0,7,0.00%,42.90%,28.60%,14.30%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Glen Innes,R08 - GA,2370,NSW,GO,1 in 2,High (50+),24,166,11,15,254,470,54.00%,5.50%,2.30%,3.20%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Stonehenge,R08 - GA,2370,NSW,GO,1 in 2,Very Low (<10),0,3,0,0,2,5,40.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Emmaville,R08 - GA,2371,NSW,GO,1 in 1,High (50+),7,10,1,0,44,62,71.00%,1.60%,1.60%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Deepwater,R08 - GA,2371,NSW,GO,1 in 2,Medium (20-49),4,6,0,0,13,23,56.50%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Harrington,OOA,2427,NSW,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Wingham,OOA,2429,NSW,ON THE FENCE,No Claims,Very Low (<10),0,4,1,0,0,5,0.00%,20.00%,20.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Taree,OOA,2430,NSW,GO,1 in 4,Very Low (<10),0,2,1,2,2,7,28.60%,42.90%,14.30%,28.60%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Diamond Beach,OOA,2430,NSW,KEEP AWAY,No Claims,Very Low (<10),0,2,0,3,0,5,0.00%,60.00%,0.00%,60.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
West Kempsey,R07 - GPM,2440,NSW,WORTH IT,1 in 5,Very Low (<10),0,4,0,0,1,5,20.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Port Macquarie,R07 - GPM,2444,NSW,GO,1 in 4,High (50+),1,191,17,28,79,316,25.00%,14.20%,5.40%,8.90%,28/11/2022,2-3cm,,,,,,,
Thrumster,R07 - GPM,2444,NSW,KEEP AWAY,No Claims,Very Low (<10),0,5,0,4,0,9,0.00%,44.40%,0.00%,44.40%,28/11/2022,2-3cm,,,,,,,
Wauchope,R07 - GPM,2446,NSW,KEEP AWAY,No Claims,Very Low (<10),0,4,1,1,0,6,0.00%,33.30%,16.70%,16.70%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Coramba,R07 - GPM,2450,NSW,GO,1 in 4,Medium (20-49),4,17,0,0,8,29,27.60%,0.00%,0.00%,0.00%,10/10/25,6-7cm,,,,,,,
Coffs Harbour,R07 - GPM,2450,NSW,ON THE FENCE,1 in 8,Medium (20-49),0,16,4,1,3,24,12.50%,20.80%,16.70%,4.20%,10/10/25,6-7cm,,,,,,,
Bonville,R07 - GPM,2450,NSW,ON THE FENCE,1 in 17,Low (10-19),1,11,1,3,1,17,5.90%,23.50%,5.90%,17.60%,10/10/25,6-7cm,,,,,,,
North Boambee Valley,R07 - GPM,2450,NSW,ON THE FENCE,No Claims,Very Low (<10),0,7,0,1,0,8,0.00%,12.50%,0.00%,12.50%,10/10/25,6-7cm,,,,,,,
Boambee,R07 - GPM,2450,NSW,KEEP AWAY,No Claims,Low (10-19),0,7,1,3,0,11,0.00%,36.40%,9.10%,27.30%,10/10/25,6-7cm,,,,,,,
Toormina,R07 - GPM,2452,NSW,ON THE FENCE,No Claims,Medium (20-49),1,30,0,1,0,32,0.00%,3.10%,0.00%,3.10%,10/10/25,6-7cm,,,,,,,
Boambee East,R07 - GPM,2452,NSW,ON THE FENCE,No Claims,Medium (20-49),1,26,0,1,0,28,0.00%,3.60%,0.00%,3.60%,10/10/25,6-7cm,,,,,,,
Sawtell,R07 - GPM,2452,NSW,ON THE FENCE,No Claims,Medium (20-49),2,15,2,3,0,22,0.00%,22.70%,9.10%,13.60%,10/10/25,6-7cm,,,,,,,
North Dorrigo,R07 - GPM,2453,NSW,ON THE FENCE,1 in 10,Low (10-19),1,8,0,0,1,10,10.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Urunga,R07 - GPM,2455,NSW,WORTH IT,1 in 5,High (50+),1,47,4,4,14,70,20.00%,11.40%,5.70%,5.70%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Corindi Beach,R07 - GPM,2456,NSW,WORTH IT,1 in 5,Low (10-19),1,9,0,1,3,14,21.40%,7.10%,0.00%,7.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
