Option ID,Option name,,,,,,,,,
116,Set Up 2/5,Person,Referral Partner (Dont use),Multiple options,61d522cc0d250712c6043bf0c407cb11ed43ea0f,,,,,
117,Actively Sharing 3/5,Person,Referral Partner (Dont use),Multiple options,61d522cc0d250712c6043bf0c407cb11ed43ea0f,,,,,
118,Minor Damage,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
119,Flood Claim,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
121,Referral Factory BAU,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
122,Eden Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
123,Mia Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
124,Jeanny Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
125,Michelle Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
126,Laura Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
127,Saraid Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
128,Daniel Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
129,Service Tech/Solar Uptime (In house),Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
133,Bradin Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
134,Daniel Door Knock - Unqualified,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
135,Mr Real Estate,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
136,Not Interested Right Now (TAG LEAD GEN),Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
137,Resourceful Energy Solar,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
139,Bradin - Unqualified,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
140,Website - Book Now,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
142,Website - Claims Guide,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
143,Website - Contact,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
144,Residential,Deal,Type of Property,Single option,ac2df257189a69470f42ea1de55c4a81a571da43,,,,,
145,Commercial,Deal,Type of Property,Single option,ac2df257189a69470f42ea1de55c4a81a571da43,,,,,
146,Body Corporate,Deal,Type of Property,Single option,ac2df257189a69470f42ea1de55c4a81a571da43,,,,,
147,Other,Deal,Type of Property,Single option,ac2df257189a69470f42ea1de55c4a81a571da43,,,,,
148,To-do,Project,Labels,Multiple options,labels,,,,,
149,In progress,Project,Labels,Multiple options,labels,,,,,
150,On hold,Project,Labels,Multiple options,labels,,,,,
152,Rebecca Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
153,Sarah Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
154,Will Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
155,Jay Houston - Solar,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
157,Yes,Deal,Do they have solar panels?,Single option,7d236172404d3cfbb644bca56d7d43f94476d5c0,,,,,
158,No,Deal,Do they have solar panels?,Single option,7d236172404d3cfbb644bca56d7d43f94476d5c0,,,,,
159,Unsure,Deal,Do they have solar panels?,Single option,7d236172404d3cfbb644bca56d7d43f94476d5c0,,,,,
160,Yes,Deal,Do they have Solar HWS,Single option,1bb94968082f3aa0cedc8ab570f1f80f1423c89f,,,,,
161,No,Deal,Do they have Solar HWS,Single option,1bb94968082f3aa0cedc8ab570f1f80f1423c89f,,,,,
162,Unsure,Deal,Do they have Solar HWS,Single option,1bb94968082f3aa0cedc8ab570f1f80f1423c89f,,,,,
163,Enrico Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
164,Client Changed Mind (Leave Reason),Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
165,NSW Other,,,,,,,,,
166,Product Review,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
169,Cooling Off Period (TAG LEAD GEN),Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
170,John - Damage Smash Port Mac,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
171,Maryborough - QLD,,,,,,,,,
172,Port Macquarie - NSW,,,,,,,,,
173,Kelly Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
174,Elicia Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
175,Sold House,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
176,Miguel Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
177,Sydney Regions,,,,,,,,,
179,Derek United Hail,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
181,Port Macquarie Business,Person,Label,Single option,label,,,,,
182,Steve Door Knock (Inactive),Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
183,Word of Mouth,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
184,Waiting on ClaimsCo,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
185,Waiting on Rebuild Relief,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
186,Waiting on AusCoast Builders,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
187,Waiting on Insurer,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
188,Waiting on Panel Builder/Specialist,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
189,Waiting on Client,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
190,Other,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
191,MANAGEMENT ESCALATION,Deal,Reason for Exceeding SLA,Multiple options,5a0cdc46048a53a811a1db687f63097e87327758,,,,,
192,Sergio Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
193,Guttering - Rates ,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
194,Guttering - Galv vs. Zinc ,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
195,Guttering - Resultant damage ,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
196,Guttering - Scaffolding,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
197,Sarking ,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
198,Evidence required,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
199,Policy cover,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
200,Other,Deal,Dispute Reason,Multiple options,5e6697f5b716a3abcbfeab95eb208acb9b4bb210,,,,,
201,Complex ,Deal,T&C Referral Reason,Multiple options,3bc6ba75cff553e5b711defeccdf34cf7a44e866,,,,,
202,Declined - no template ,Deal,T&C Referral Reason,Multiple options,3bc6ba75cff553e5b711defeccdf34cf7a44e866,,,,,
203,Other,Deal,T&C Referral Reason,Multiple options,3bc6ba75cff553e5b711defeccdf34cf7a44e866,,,,,
204,Guttering,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
205,Engineer / Certifier Requirements,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
206,Solar Panels,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
207,Solar HWS,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
208,Scaffolding ,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
209,Tie downs & frames,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
210,Battens,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
211,Sarking,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
212,Anticon ,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
213,Electrical requirements,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
214,Other ,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
215,Missing Items,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
216,Charlie Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
217,Jackson Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
218,WARWICK - QLD,,,,,,,,,
219,Ellen Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
220,Rachelle Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
221,Chantelle Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
223,Newspaper,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
224,Oakey / Crowsnest / Kilcoy - QLD,,,,,,,,,
225,Toowoomba - QLD,,,,,,,,,
226,Deborah Wheeler,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
227,Tye Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
228,Ryan Door knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
229,Newcastle / Mereweather / Gwandalan - NSW,,,,,,,,,
230,Darius Self Gen,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
231,Tony Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
232,Melinda Enriquez Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
233,Heather S Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
234,Jose Enriquez Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
244,Cladding,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
245,Flashing,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
246,TV Antenna,Deal,VO Reason,Multiple options,6c6ba75e6ee324116a8c34037946490548d29f1d,,,,,
247,Adam King - All Clear Inspect,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
248,Zeke - Saltwater Roofing Sunshine Coast,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
249,WIX,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
250,Danielle Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
251,Adam Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
252,Jayden W Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
253,Deb Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
254,Gabbie Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
255,Leila Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
256,Tracey Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
257,Karli Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
258,Savannah Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
259,Logan Edwards Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
260,Yes Claims - No Damage,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
261,Yes Claims - Pre Exisiting Damage,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
262,Yes Claims - PDS Undisputable,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
263,Yes Claims - Unresponsive,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
264,Yes Claims - UnInsured,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
265,Yes Claims - Minor Damage,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
266,Bradin C,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
267,Charlie S,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
268,Daniel G,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
269,Darius P,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
270,Enrico V,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
271,Harry B,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
274,Ryan W,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
275,Steven H,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
276,Tony P,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
277,Tye C,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
278,Seam - Yes Claims (Google & FB),Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
279,Yes Claims - Other (provide details),Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
280,Son,Person,Label,Single option,label,,,,,
281,Gabriel Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
282,Sophie Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
283,Jennifer Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
284,Stacey Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
285,Samara Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
